area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,Prtates,1675,2,3,380,13.0395765,77.6048698
Super built-up  Area,Ready To Move,Benson Town,2 BHK,ShtalCr,3260,1,1,50,12.997343,77.6036815
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Gopus O,1160,2,1,470,12.932582,77.5162034
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Elleyt ,1914,4,1,72,12.9921738,77.591459
Super built-up  Area,18-Jan,Bommasandra,4 BHK,Prian E,1458,2,1,1102,13.0544346,77.5593269
Super built-up  Area,18-Jun,Thanisandra,2 BHK,SSestth,3035,3,1,40.89,13.054713,77.6339258
Super built-up  Area,18-Aug,Bellandur,3 BHK,Sodgere,1662,2,3,135,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,GoncyRe,1556,2,1,65,12.9467591,77.6760671
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Alivae ,918,1,1,61,12.9136133,77.595695
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Eladero,1455,2,2,135,12.9624481,77.6463772
Super built-up  Area,18-Aug,Uttarahalli,4 BHK,Soianal,1100,2,1,388,12.9055682,77.5455438
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Sencys ,1405,3,2,45,13.0621474,77.5800614
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,HoAcela,929,2,1,149,12.9140008,77.6102821
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,C ensnd,3436,3,2,79,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Vapasrk,1065,3,1,220,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,DLhtsnd,1532.5,2,1,90,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Jigani,3 BHK,PuziaVe,1250,3,1,86,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DLhtsan,1680,3,2,50,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Mades G,1146,3,2,98,12.9504037,77.6033713
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Pyvenas,1451,2,1,52,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,S2kaaan,1424,3,3,48.87,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Prldsri,1435,3,0,56,12.9975851,77.6136744
Built-up  Area,Ready To Move,Channasandra,4 BHK,Asuilnc,658,5,1,341,12.9873426,77.7538033
Super built-up  Area,17-Jul,Bannerghatta Road,2 BHK,Unm 2El,1242,3,2,40.47,12.9504037,77.6033713
Super built-up  Area,22-Dec,Anandapura,3 BHK,PrarePa,1610,4,2,84.29,13.0239276,77.6923621
Built-up  Area,Ready To Move,Marathahalli,2 BHK,LoLeoen,1127,2,1,45,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Asintas,1250,2,2,105,12.9651215,77.5090098
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,Shentpa,2200,2,1,50,12.9558969,77.7405826
Super built-up  Area,17-Oct,Nobo Nagar,3 BHK,ViistLa,876,3,1,60.44,12.8679232,77.5962356
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Elacet ,1314,3,1,55,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Devanahalli,3 BHK,Krryll ,690,1,3,62,13.2483502,77.7134377
Super built-up  Area,18-Apr,Whitefield,1 BHK,Sabixtt,3550,3,2,26.91,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,FoityIn,1230,2,2,65,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,PrrloMo,920,3,1,85,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Krishna Reddy Layout,2 BHK,Reiteee,1850,4,1,65,12.9530237,77.6418641
Super built-up  Area,Ready To Move,Kuvempu Layout,3 BHK,ThntsAp,1073,2,1,55,12.9163105,77.6110455
Plot  Area,18-Mar,Chandapura,3 BHK,LGeete ,1540,2,1,160,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,PavesGr,1550,2,1,29.5,12.9957428,77.7579489
Super built-up  Area,18-Apr,Rachenahalli,2 BHK,Alestrb,1198,2,1,83,13.0588586,77.6232576
Super built-up  Area,20-Aug,Electronic City Phase II,1 BHK,AsNowre,1656,2,2,39.8,12.8463512,77.6690975
Built-up  Area,Ready To Move,Srirampura,4 BHK,Shrds O,1900,3,2,167.5,12.9964948,77.5632993
Built-up  Area,Ready To Move,Bommasandra,2 BHK,HooudSi,1910,3,1,55,13.0544346,77.5593269
Super built-up  Area,18-May,Sarjapur  Road,2 BHK,SSestth,1495,4,1,37.2,12.9239386,77.6396966
Built-up  Area,Ready To Move,Electronic City,3 BHK,Adeatlm,2172,3,0,140,12.8487599,77.648253
Super built-up  Area,Ready To Move,Maithri Layout,2 BHK,Goty  E,1548,2,2,60,12.9848621,77.7559192
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Lalipa ,2856,3,2,76,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,JRrnauv,2119,2,1,63.5,13.0221416,77.6403368
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Satle C,1100,2,2,65,13.031992,77.6280789
Super built-up  Area,Ready To Move,Kaveri Nagar,3 BHK,HMtesle,1250,2,2,90,13.0326126,77.6096168
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Roiti A,1942,2,1,155,12.9558969,77.7405826
Built-up  Area,Ready To Move,Whitefield,3 BHK,DNeremo,1985,1,1,142,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Sonviik,950,1,2,67,13.054713,77.6339258
Super built-up  Area,19-Dec,Whitefield,3 BHK,DSity S,1752,2,3,76.02,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Whitefield,3 BHK,DSe 2ie,1480,2,0,65,12.9963995,77.7614229
Super built-up  Area,18-Dec,Hosur Road,4 BHK,Prtates,1826,5,2,154.5,12.9193621,77.6214458
Super built-up  Area,18-Jul,Devi Nagar,4 BHK,Rosha I,2600,2,2,111,13.0161192,77.527197
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,RMerslu,934,3,2,61,13.0351224,77.631944
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Mileeou,1620,4,0,77.88,12.8487599,77.648253
Built-up  Area,Ready To Move,Haralur Road,3 BHK,SoliaMa,1070,2,1,155,12.9018012,77.6641767
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,NDiteio,1012,2,3,130,12.9239386,77.6396966
Super built-up  Area,18-Apr,Green Glen Layout,1 BHK,Kiare S,1611,5,2,39.9,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Solia D,1515,2,1,105,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Brglede,1830,2,2,84,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1710,2,1,130,12.9239386,77.6396966
Built-up  Area,Ready To Move,Thanisandra,4 BHK,Saacesa,935,1,3,98,13.054713,77.6339258
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Bhmesy ,1678,2,2,55,12.9968412,77.6928386
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Neisei ,1410,2,0,76,12.8487599,77.648253
Super built-up  Area,17-Jun,Balagere,2 BHK,GMown E,1125,2,2,47,12.9377243,77.7280705
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Soresea,1191,5,1,54.59,12.8463512,77.6690975
Super built-up  Area,19-Dec,Whitefield,3 BHK,DSineSt,600,2,2,48.33,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Vaurtar,645,4,1,90,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prtanha,1185,1,2,150,12.9846713,77.6790908
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Omncy R,1190,1,1,60,12.9140008,77.6102821
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Varala ,2856,3,1,51.5,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Brookefield,3 BHK,IBityin,1355,2,0,92.13,12.9652094,77.717936
Built-up  Area,Ready To Move,Jakkur,3 BHK,Roeekbl,500,2,2,80,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,AvensGa,1250,2,1,65,12.975608,77.5553564
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Vrenty ,3300,4,0,55.38,12.9850987,77.6631173
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Javasya,1583,2,2,25,12.8009043,77.7114908
Super built-up  Area,18-Sep,Thanisandra,1 BHK,SunceEs,1206,2,0,16.45,13.054713,77.6339258
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,MenueNo,1357,3,0,44,12.8401734,77.6595099
Super built-up  Area,18-May,Whitefield,2 BHK,Shitt S,909,3,1,68,12.9963995,77.7614229
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,3000,2,1,158.5,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Veale R,1100,2,3,73,13.0978039,77.5811889
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,1 BHK,KHatsFl,975,2,1,24,12.8137512,77.6953367
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Stkarrd,1306,2,1,50,12.9173303,77.667161
Built-up  Area,Ready To Move,KR Puram,4 BHK,Toeadp ,610,2,2,329,13.007516,77.695935
Super built-up  Area,18-May,Green Woods Layout,3 BHK,TGasyhu,1484,2,1,70.445,13.0584954,77.6263659
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Paarklu,1447,2,2,53,12.9945793,77.5503967
Super built-up  Area,18-Aug,8th Phase JP Nagar,2 BHK,ProdsWe,1250,2,1,130,12.9104062,77.5951099
Super built-up  Area,Ready To Move,Seegehalli,2 BHK,MBodsen,840,2,3,40.9,13.0164845,77.71748
Plot  Area,Ready To Move,Brookefield,3 BHK,Stndeil,2502,2,2,335,12.9652094,77.717936
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Bhiya N,583,5,3,55,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Mayne A,750,2,1,65,12.932582,77.5162034
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,GrrvaGr,1600,2,2,44.17,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,MBpleca,1365,2,2,39,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Pyikad ,1260,2,2,56.4,13.0120218,77.6777817
Super built-up  Area,18-Jul,Whitefield,2 BHK,Rosha I,1190,3,1,75.97,12.9963995,77.7614229
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,Pantsce,2480,2,1,58,12.9150543,77.5988508
Built-up  Area,Ready To Move,Hennur Road,1 BHK,Opamaan,1510,2,2,50,13.0351224,77.631944
Super built-up  Area,Ready To Move,Rayasandra,4 BHK,Samittv,1120,3,0,180,12.8795774,77.6719842
Super built-up  Area,Ready To Move,Whitefield,1 BHK,MJeusyl,1115,2,3,26.9,12.9963995,77.7614229
Super built-up  Area,19-Dec,Marathahalli,1 BHK,Oreldhi,2099,3,2,51,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Afncyad,1465,5,2,58,12.9121916,77.5476337
Super built-up  Area,Ready To Move,Hormavu,3 BHK,SLarei ,1255,2,1,49,13.016672,77.6548126
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,ARaveSa,1065,2,1,35,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,Sarlsm ,1281,2,2,33.92,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Taonte ,1210,2,2,260,12.8849238,77.5154846
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Naiewre,1215,3,1,47.57,12.977594,77.7155586
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rasom B,1300,3,2,53.76,12.9963995,77.7614229
Super built-up  Area,20-Dec,Dodsworth Layout,2 BHK,Somns T,1105,2,2,34.555,12.9708022,77.7440554
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Arora A,1505,3,2,95,12.9504037,77.6033713
Built-up  Area,Ready To Move,Haralur Road,3 BHK,AMaveon,3900,2,2,45.87,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Ozensve,1186,2,2,90,12.8463512,77.6690975
Built-up  Area,18-Aug,Bellandur,2 BHK,Sryalan,750,2,2,30.88,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Electronic City,2 BHK,OriewLa,1083,2,2,87,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Itelaa ,2108,2,3,25,12.9846713,77.6790908
Carpet  Area,Ready To Move,Mysore Road,2 BHK,AnaveEn,1650,3,2,43,12.9466619,77.5300896
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Oaeze B,1220,3,2,70,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Chandapura,2 BHK,SSthamh,1198,2,2,39.99,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Riiew L,1190,2,0,42,13.0514799,77.5933559
Super built-up  Area,Ready To Move,Banashankari,4 BHK,GonumPl,2940,2,2,310,12.9278196,77.556621
Built-up  Area,Ready To Move,Kengeri,2 BHK,Sksia A,2254,2,2,65,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Varthur,2 BHK,VBvenal,2990,3,2,35.5,12.9406508,77.746988
Built-up  Area,Ready To Move,Thanisandra,2 BHK,SLncyaj,820,1,2,28,13.054713,77.6339258
Super built-up  Area,Ready To Move,Banashankari,3 BHK,AbnceEs,1296,3,2,85,12.9278196,77.556621
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Bregae ,1173,2,1,101,12.8463512,77.6690975
Built-up  Area,18-Jul,Rayasandra,3 BHK,Sryalan,1102,3,2,36.6,12.8795774,77.6719842
Super built-up  Area,Ready To Move,Ejipura,2 BHK,MJeusyl,2968,3,3,54,12.945245,77.6274776
Super built-up  Area,Ready To Move,Bommenahalli,2 BHK,Prsichi,1519,2,3,70,13.0742536,77.7465943
Plot  Area,18-Sep,Yelahanka,4 BHK,Prood G,1345,3,3,2250,13.1006982,77.5963454
Super built-up  Area,21-Feb,Old Madras Road,3 BHK,Sodgere,1594,2,1,153,13.0082277,77.6941931
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Brica E,1250,2,2,210,12.9096941,77.5866067
Built-up  Area,Ready To Move,Electronic City,2 BHK,Adaveth,1056,4,1,45,12.8487599,77.648253
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Naireru,861,2,2,65,12.9963995,77.7614229
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Oreldhi,1047,3,0,77,13.1006982,77.5963454
Built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Rarthne,2300,2,2,52,12.977178,77.7436455
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuhtsHe,1000,2,3,225,13.1006982,77.5963454
Super built-up  Area,17-Dec,Hosur Road,2 BHK,Hotat H,1682,2,1,65,12.9193621,77.6214458
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Saageat,814,2,3,106,12.9708022,77.7440554
Super built-up  Area,19-Dec,Kaverappa Layout,3 BHK,Prard B,1145,2,3,99,12.9907651,77.5945915
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,SLarkic,965,2,2,68,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,Zostaa ,1300,1,1,60,12.9708334,77.6951966
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,Mauner ,1590,3,1,36.5,12.977594,77.7155586
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Dieldli,644,2,0,82.62,12.9945793,77.5503967
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,PhestOn,982,2,3,369,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,JSonyar,1555,2,1,62,13.0026688,77.4915418
Super built-up  Area,Ready To Move,Dasanapura,3 BHK,Soiewre,1085,3,2,113,12.7467724,77.7742876
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tavenew,1640,1,2,42,12.9686859,77.6966093
Built-up  Area,Ready To Move,Varthur,2 BHK,GSodsee,1595,2,1,46.5,12.9406508,77.746988
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Maita R,1196,3,2,34,12.9278196,77.556621
Built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,V2anags,1859,2,1,55,12.9150543,77.5988508
Super built-up  Area,18-May,Begur Road,3 BHK,Inntsth,1079,2,2,131,12.8856188,77.6252418
Super built-up  Area,20-Aug,Whitefield,1 BHK,Pruthg ,1118,3,1,40,12.9963995,77.7614229
Super built-up  Area,18-Mar,Rayasandra,2 BHK,Pranthi,1198,2,1,37,12.8795774,77.6719842
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,MJeusyl,1162.5,3,2,75.17,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PisomSu,1830,2,2,46,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Brway G,1160,2,2,220,13.054713,77.6339258
Built-up  Area,18-Aug,Raja Rajeshwari Nagar,3 BHK,Bhmesy ,2070,3,1,110,12.932582,77.5162034
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrrvaGr,957,3,2,40.44,13.1006982,77.5963454
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,Miitat ,1268,2,2,108,12.9107357,77.5829631
Super built-up  Area,21-Sep,Whitefield,2 BHK,Vasisvi,1450,1,3,60,12.9963995,77.7614229
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Satanan,1600,3,2,42,12.9850987,77.6631173
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Roareta,1330,3,1,60,12.8009043,77.7114908
Super built-up  Area,18-Jun,Thigalarapalya,3 BHK,SuVue S,1355,2,1,30.215,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Banashankari Stage VI,3 BHK,Prtanha,900,2,1,135,12.8849238,77.5154846
Super built-up  Area,20-Oct,Ejipura,2 BHK,Brens7 ,2106,2,1,59,12.945245,77.6274776
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,Emsic C,3800,3,2,135,13.0155506,77.7630344
Built-up  Area,17-Mar,Bannerghatta Road,2 BHK,VBownre,1602,5,2,52.5,12.9504037,77.6033713
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,Uncioe ,1660,2,1,69,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Manorayana Palya,3 BHK,SNity S,1549,2,2,87,13.0296633,77.6061427
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Bhncy V,700,3,0,75,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Aklia R,1012,3,1,57,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,Paurt C,1469,3,2,65,12.9792262,77.680936
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Nentsan,1216,2,1,44,12.9018012,77.6641767
Super built-up  Area,21-Dec,Sadahalli,3 BHK,Sodgere,1065,2,2,148,13.2111088,77.647022
Plot  Area,Ready To Move,Marathahalli,3 BHK,K ensad,1411,4,2,130,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,RookaJh,1400,2,3,104,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,DSndsod,1250,2,0,116,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SJmesst,1115,2,2,80,12.9552572,77.6984163
Super built-up  Area,19-Mar,Balagere,1 BHK,Unezes ,1000,3,1,38,12.9377243,77.7280705
Super built-up  Area,18-Dec,Marathahalli,2 BHK,Soresea,1580,3,2,64,12.9552572,77.6984163
Super built-up  Area,19-Dec,Whitefield,3 BHK,PrensKe,1800,3,2,89,12.9963995,77.7614229
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Prtates,1500,3,2,69,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Brods W,645,3,1,56.13,13.054713,77.6339258
Super built-up  Area,19-Mar,Pai Layout,3 BHK,Bhe 2ko,1949,2,3,93.15,12.9820719,77.7480909
Super built-up  Area,Ready To Move,Hoskote,2 BHK,Vatlede,1020,2,1,57.5,13.0318443,77.7618779
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,Deiveer,883,3,1,29,12.8883623,77.6799727
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,GRhtiru,1240,2,1,50,13.0766407,77.5577315
Super built-up  Area,Ready To Move,Panathur,2 BHK,DSestil,1835,3,2,35,12.9351457,77.7047541
Super built-up  Area,18-Mar,Subramanyapura,3 BHK,EcEONfe,2932,3,2,71.89,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Mathikere,3 BHK,Chllsev,945,2,2,90,13.0333587,77.5581786
Super built-up  Area,Ready To Move,Chandapura,2 BHK,CSncele,1569,2,2,130,12.8009043,77.7114908
Super built-up  Area,18-Sep,Kasavanhalli,1 BHK,SunceEs,1755,3,3,16.45,12.9047595,77.6759172
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,Prsun S,1760,1,0,129,12.9140008,77.6102821
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Krberl ,1450,2,2,46.5,12.9466619,77.5300896
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,PrawnRa,1000,2,0,45,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,IBityin,1215,3,2,80,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Golmsn ,1178,2,2,88,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Gottigere,4 BHK,Kobhiil,2040,2,2,195,12.8565317,77.5877237
Built-up  Area,Ready To Move,Sathya Layout,2 BHK,Skvasa ,1602,2,2,45,12.989889,77.7186215
Super built-up  Area,Ready To Move,Harlur,3 BHK,RothaVa,1194,6,3,150,12.9058923,77.675465
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Prncyrn,1800,2,1,130,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GoncyRe,1700,2,3,140,12.8401734,77.6595099
Super built-up  Area,19-Dec,5th Phase JP Nagar,3 BHK,Shitt S,1200,2,3,72.54,12.91241,77.591056
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maodser,1500,2,1,48,12.8883623,77.6799727
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GRlpank,1280,3,2,59,12.932582,77.5162034
Super built-up  Area,18-Aug,Hulimavu,2 BHK,Prllsan,1560,3,2,75,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,Aaityi ,2400,2,1,59,12.9555367,77.5924278
Super built-up  Area,18-May,Parappana Agrahara,3 BHK,UbreeAn,900,3,2,165,12.8802089,77.6658442
Super built-up  Area,Ready To Move,Jayamahal,2 BHK,Peide L,1850,3,2,46,12.9990834,77.5971229
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Peace P,1831,2,2,220,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Jigani,3 BHK,Maantr ,1320,2,3,108,12.7756195,77.6324661
Built-up  Area,Ready To Move,Veer Sandra,3 BHK,DLhtsan,1272.5,2,2,65,12.8389813,77.6750305
Plot  Area,Ready To Move,Karuna Nagar,3 BHK,Thessie,1075,1,1,72,12.9827061,77.6251679
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Mawerer,925,2,1,48,12.9850987,77.6631173
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Chhalut,1140,2,3,85,12.9652094,77.717936
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,4 BHK,Gotaten,1805,2,1,140,12.9232498,77.5493787
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,NaaveEn,1355,5,1,45,12.9136133,77.595695
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Brngsal,1716,2,1,155,13.0351224,77.631944
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SaireSa,937,2,2,110,12.8463512,77.6690975
Built-up  Area,18-Jul,Sarjapur  Road,3 BHK,Sryalan,1490,3,1,38.13,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Budigere,3 BHK,Shthi S,4856,3,2,40.72,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Prityel,4003,3,2,41,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Electronic City,1 BHK,RatatHa,1100,2,1,40.7,12.8487599,77.648253
Super built-up  Area,21-Dec,Kaggadasapura,2 BHK,KonteiT,1000,1,0,70.93,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Bommenahalli,3 BHK,Matlelp,1047,2,1,75,13.0742536,77.7465943
Plot  Area,Ready To Move,Koramangala,4 BHK,Prana S,1420,2,2,135,12.9357366,77.624081
Super built-up  Area,Ready To Move,Chandapura,3 BHK,KHage G,1539,2,2,115,12.8009043,77.7114908
Super built-up  Area,18-Dec,Hennur Gardens,2 BHK,AMAKS O,1550,3,3,30,13.0376905,77.6432902
Built-up  Area,Ready To Move,Frazer Town,3 BHK,PlhtsHe,1553,2,2,115,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Meentan,1740,2,1,410,12.9963995,77.7614229
Plot  Area,Ready To Move,Whitefield,4 BHK,Chllea ,1724,2,1,525,12.9963995,77.7614229
Super built-up  Area,17-May,Thigalarapalya,2 BHK,SVineun,1020,3,1,37,13.0170955,77.4829741
